,empirical_rolling_corr
2025-07-26 23:00:00,-0.3175958901822888
2025-07-27 00:00:00,-0.3183126414984922
2025-07-27 01:00:00,-0.3189317123372496
2025-07-27 02:00:00,-0.3196424874634892
2025-07-27 03:00:00,-0.32016360256224385
2025-07-27 04:00:00,-0.3208373183072943
2025-07-27 05:00:00,-0.3217776338435879
2025-07-27 06:00:00,-0.3234293848496463
2025-07-27 07:00:00,-0.3255039238983461
2025-07-27 08:00:00,-0.327352025754153
2025-07-27 09:00:00,-0.32874265125605123
2025-07-27 10:00:00,-0.3294206398570946
2025-07-27 11:00:00,-0.329472572174542
2025-07-27 12:00:00,-0.32917414626484215
2025-07-27 13:00:00,-0.32813805932050527
2025-07-27 14:00:00,-0.32675580616151956
2025-07-27 15:00:00,-0.32538146943695356
2025-07-27 16:00:00,-0.32528905580682826
2025-07-27 17:00:00,-0.326290674453327
2025-07-27 18:00:00,-0.3275749945909451
2025-07-27 19:00:00,-0.32928099728401433
2025-07-27 20:00:00,-0.330703375931412
2025-07-27 21:00:00,-0.33186686918816966
2025-07-27 22:00:00,-0.33262905131017834
2025-07-27 23:00:00,-0.3329889580205667
2025-07-28 00:00:00,-0.33320770523536164
2025-07-28 01:00:00,-0.3333429568789207
2025-07-28 02:00:00,-0.33339272986864543
2025-07-28 03:00:00,-0.3334115397672518
2025-07-28 04:00:00,-0.3334303309220908
2025-07-28 05:00:00,-0.33347641601754807
2025-07-28 06:00:00,-0.333577435388233
2025-07-28 07:00:00,-0.33369882036295007
2025-07-28 08:00:00,-0.33393059185838037
2025-07-28 09:00:00,-0.3342518289084453
2025-07-28 10:00:00,-0.33489949940841907
2025-07-28 11:00:00,-0.3357287504283184
2025-07-28 12:00:00,-0.33644564274753874
2025-07-28 13:00:00,-0.33693392596112076
2025-07-28 14:00:00,-0.3373311756408677
2025-07-28 15:00:00,-0.33750197013603095
2025-07-28 16:00:00,-0.3378785040449324
2025-07-28 17:00:00,-0.33805420017927
2025-07-28 18:00:00,-0.3378364474959783
2025-07-28 19:00:00,-0.3375699458835361
2025-07-28 20:00:00,-0.3374661670076763
2025-07-28 21:00:00,-0.337424724635775
2025-07-28 22:00:00,-0.3374646579022581
2025-07-28 23:00:00,-0.33730970166639046
2025-07-29 00:00:00,-0.3370255471085908
2025-07-29 01:00:00,-0.3364776908248751
2025-07-29 02:00:00,-0.3360019195270892
2025-07-29 03:00:00,-0.3355749936057282
2025-07-29 04:00:00,-0.3351841380021907
2025-07-29 05:00:00,-0.33498102573164656
2025-07-29 06:00:00,-0.33488444329197437
2025-07-29 07:00:00,-0.33480710911122114
2025-07-29 08:00:00,-0.33456276698585286
2025-07-29 09:00:00,-0.3341111831822517
2025-07-29 10:00:00,-0.3333890989964122
2025-07-29 11:00:00,-0.3325709261055103
2025-07-29 12:00:00,-0.33144263867529666
2025-07-29 13:00:00,-0.3303413629777319
2025-07-29 14:00:00,-0.3292113291968378
2025-07-29 15:00:00,-0.32846233624558324
2025-07-29 16:00:00,-0.3274053370434014
2025-07-29 17:00:00,-0.32653788353675345
2025-07-29 18:00:00,-0.3266436390864406
2025-07-29 19:00:00,-0.32710516733256395
2025-07-29 20:00:00,-0.32771407402548924
2025-07-29 21:00:00,-0.3286077185139086
2025-07-29 22:00:00,-0.32898893746817187
2025-07-29 23:00:00,-0.3290546163097519
2025-07-30 00:00:00,-0.3289481259100741
2025-07-30 01:00:00,-0.32882855920789555
2025-07-30 02:00:00,-0.32868606831443464
2025-07-30 03:00:00,-0.3285163597143217
2025-07-30 04:00:00,-0.32831778851208393
2025-07-30 05:00:00,-0.32814005914189454
2025-07-30 06:00:00,-0.3279718351687529
2025-07-30 07:00:00,-0.3279309012334105
2025-07-30 08:00:00,-0.32842907645424824
2025-07-30 09:00:00,-0.3299753720657462
2025-07-30 10:00:00,-0.33153760298163226
2025-07-30 11:00:00,-0.3330248833899031
2025-07-30 12:00:00,-0.33445145328205117
2025-07-30 13:00:00,-0.3363020614240354
2025-07-30 14:00:00,-0.33839945125876614
2025-07-30 15:00:00,-0.3400262370951701
2025-07-30 16:00:00,-0.34189813950239284
2025-07-30 17:00:00,-0.3425954232701554
2025-07-30 18:00:00,-0.34239671208777145
2025-07-30 19:00:00,-0.3415971133696922
2025-07-30 20:00:00,-0.34028581607030656
2025-07-30 21:00:00,-0.3390921447491523
2025-07-30 22:00:00,-0.3384445634048896
2025-07-30 23:00:00,-0.33820554739613135
2025-07-31 00:00:00,-0.3381896047987617
2025-07-31 01:00:00,-0.3381184913452916
2025-07-31 02:00:00,-0.3381075715319271
2025-07-31 03:00:00,-0.3381289857915979
2025-07-31 04:00:00,-0.3381445868145498
2025-07-31 05:00:00,-0.33812434868493996
2025-07-31 06:00:00,-0.33814366294043036
2025-07-31 07:00:00,-0.33822533426393575
2025-07-31 08:00:00,-0.33853730091054773
2025-07-31 09:00:00,-0.33940378068747656
2025-07-31 10:00:00,-0.3400002245391057
2025-07-31 11:00:00,-0.34062521704005766
2025-07-31 12:00:00,-0.3410509813165424
2025-07-31 13:00:00,-0.340669721639019
2025-07-31 14:00:00,-0.3407615725987973
2025-07-31 15:00:00,-0.3398278472705369
2025-07-31 16:00:00,-0.33958295649070536
2025-07-31 17:00:00,-0.339278589679616
2025-07-31 18:00:00,-0.33906143185950294
2025-07-31 19:00:00,-0.3389452478572043
2025-07-31 20:00:00,-0.3386835915745041
2025-07-31 21:00:00,-0.33867156513036056
2025-07-31 22:00:00,-0.33853780963872226
2025-07-31 23:00:00,-0.3384492151367374
2025-08-01 00:00:00,-0.33840767202226235
2025-08-01 01:00:00,-0.3384457888409983
2025-08-01 02:00:00,-0.3384930458030468
2025-08-01 03:00:00,-0.33852195942659147
2025-08-01 04:00:00,-0.3385525762969218
2025-08-01 05:00:00,-0.33858818678534675
2025-08-01 06:00:00,-0.3386660552228164
2025-08-01 07:00:00,-0.33878296439499633
2025-08-01 08:00:00,-0.3388101327911307
2025-08-01 09:00:00,-0.3389616493627291
2025-08-01 10:00:00,-0.33913781871048826
2025-08-01 11:00:00,-0.339216609407907
2025-08-01 12:00:00,-0.33914230456624783
2025-08-01 13:00:00,-0.3389558060681366
2025-08-01 14:00:00,-0.3383699423247299
2025-08-01 15:00:00,-0.33761754074520023
2025-08-01 16:00:00,-0.3374601759102887
2025-08-01 17:00:00,-0.33748908433265656
2025-08-01 18:00:00,-0.33761770918293277
2025-08-01 19:00:00,-0.3377398008316371
2025-08-01 20:00:00,-0.33754996498624906
2025-08-01 21:00:00,-0.33747467778131685
2025-08-01 22:00:00,-0.33728736393433434
2025-08-01 23:00:00,-0.3371963697276162
2025-08-02 00:00:00,-0.3369566971036072
2025-08-02 01:00:00,-0.3366977417423338
2025-08-02 02:00:00,-0.33654433776417575
2025-08-02 03:00:00,-0.33639106942710373
2025-08-02 04:00:00,-0.3363002959637602
2025-08-02 05:00:00,-0.33603379324997706
2025-08-02 06:00:00,-0.3355543430935948
2025-08-02 07:00:00,-0.3352278468473328
2025-08-02 08:00:00,-0.3352026840411984
2025-08-02 09:00:00,-0.33546372981249434
2025-08-02 10:00:00,-0.33607106620074384
2025-08-02 11:00:00,-0.33568581671727815
2025-08-02 12:00:00,-0.33498960539675077
2025-08-02 13:00:00,-0.3338057977075777
2025-08-02 14:00:00,-0.33249588920178136
2025-08-02 15:00:00,-0.331319294065046
2025-08-02 16:00:00,-0.3303481496677869
2025-08-02 17:00:00,-0.3301888226866377
2025-08-02 18:00:00,-0.33030514759447427
2025-08-02 19:00:00,-0.330372537966373
2025-08-02 20:00:00,-0.33015536588717564
2025-08-02 21:00:00,-0.3301063923404514
2025-08-02 22:00:00,-0.33016700444746455
2025-08-02 23:00:00,-0.3302645353352295
2025-08-03 00:00:00,-0.3302931997051062
2025-08-03 01:00:00,-0.33025671740846574
2025-08-03 02:00:00,-0.3302508483373275
2025-08-03 03:00:00,-0.3303188926267583
2025-08-03 04:00:00,-0.3303933214708455
2025-08-03 05:00:00,-0.33035827771840287
2025-08-03 06:00:00,-0.330303541390884
2025-08-03 07:00:00,-0.3300808152042985
2025-08-03 08:00:00,-0.32968827662620676
2025-08-03 09:00:00,-0.3295735990792237
2025-08-03 10:00:00,-0.32935707605089337
2025-08-03 11:00:00,-0.32920663662860367
2025-08-03 12:00:00,-0.32893128018531076
2025-08-03 13:00:00,-0.32874817844894444
2025-08-03 14:00:00,-0.3288287033218761
2025-08-03 15:00:00,-0.32907099768212866
2025-08-03 16:00:00,-0.329687140961394
2025-08-03 17:00:00,-0.33038850771375083
2025-08-03 18:00:00,-0.3303436425561033
2025-08-03 19:00:00,-0.3301928342839254
2025-08-03 20:00:00,-0.33037195546067033
2025-08-03 21:00:00,-0.3300662311716271
2025-08-03 22:00:00,-0.3298692042549275
2025-08-03 23:00:00,-0.32976181859080583
2025-08-04 00:00:00,-0.32949897398843736
2025-08-04 01:00:00,-0.32939474232741167
2025-08-04 02:00:00,-0.3292997133064749
2025-08-04 03:00:00,-0.3290637132378519
2025-08-04 04:00:00,-0.3288498851475077
2025-08-04 05:00:00,-0.32857201771508954
2025-08-04 06:00:00,-0.32804393234438467
2025-08-04 07:00:00,-0.3274278220683122
2025-08-04 08:00:00,-0.32678033974940457
2025-08-04 09:00:00,-0.3265873178543671
2025-08-04 10:00:00,-0.3265757612406867
2025-08-04 11:00:00,-0.3266244461339842
2025-08-04 12:00:00,-0.32652384328414175
2025-08-04 13:00:00,-0.32621581770203834
2025-08-04 14:00:00,-0.3261432233009041
2025-08-04 15:00:00,-0.3261979449690967
2025-08-04 16:00:00,-0.3264906398264467
2025-08-04 17:00:00,-0.32672393017797396
2025-08-04 18:00:00,-0.32706314586034585
2025-08-04 19:00:00,-0.3273927982034993
2025-08-04 20:00:00,-0.3282574251069459
2025-08-04 21:00:00,-0.3285050394534365
2025-08-04 22:00:00,-0.3287646127618121
2025-08-04 23:00:00,-0.32918252307542495
2025-08-05 00:00:00,-0.3303603203537941
2025-08-05 01:00:00,-0.33152966308693405
2025-08-05 02:00:00,-0.33256183052044463
2025-08-05 03:00:00,-0.3332838471034786
2025-08-05 04:00:00,-0.33339508914792765
2025-08-05 05:00:00,-0.33390433928195323
2025-08-05 06:00:00,-0.3345808739972731
2025-08-05 07:00:00,-0.3357507812638547
2025-08-05 08:00:00,-0.33621923024301087
2025-08-05 09:00:00,-0.33432434917867976
2025-08-05 10:00:00,-0.3324185258531299
2025-08-05 11:00:00,-0.3304395619067472
2025-08-05 12:00:00,-0.3288463373742595
2025-08-05 13:00:00,-0.32712662746529203
2025-08-05 14:00:00,-0.3259574407044945
2025-08-05 15:00:00,-0.32509282105533205
2025-08-05 16:00:00,-0.3244865497635515
2025-08-05 17:00:00,-0.32429990668608955
2025-08-05 18:00:00,-0.3254983075011276
2025-08-05 19:00:00,-0.3257161339627812
2025-08-05 20:00:00,-0.3255791082252532
2025-08-05 21:00:00,-0.3253777821644354
2025-08-05 22:00:00,-0.32573677689428526
2025-08-05 23:00:00,-0.3258110802391451
2025-08-06 00:00:00,-0.32570638369219435
2025-08-06 01:00:00,-0.3258401762786145
