time,branch,q05,q25,q50,q75,q95,mean
2025-07-31 15:00:00,Stochastic covariance,-0.4151562040792404,-0.302885137116615,-0.19911760231483322,-0.09580558670231057,0.06353848856614315,-0.19622651736795238
2025-07-31 16:00:00,Stochastic covariance,-0.41497534947909476,-0.30256664722071264,-0.1995240930737298,-0.09486558748141029,0.06505532919639889,-0.19602044068270563
2025-07-31 17:00:00,Stochastic covariance,-0.4143210603249904,-0.30294834115100167,-0.19933580601235493,-0.09428984395612153,0.06600337594526798,-0.19592306996178863
2025-07-31 18:00:00,Stochastic covariance,-0.4135998599769451,-0.3033403770104663,-0.19919784191058898,-0.0940855460263172,0.06649142279404685,-0.19595168701984075
2025-07-31 19:00:00,Stochastic covariance,-0.41303110272595844,-0.30244324643345455,-0.1986323894446742,-0.09450650431358582,0.06668372848703145,-0.19605268045542704
2025-07-31 20:00:00,Stochastic covariance,-0.4124971818698445,-0.3028489551435961,-0.19793608576236998,-0.09550558121342274,0.06677837966472167,-0.19609640929044853
2025-07-31 21:00:00,Stochastic covariance,-0.41189333293071867,-0.3035661852334276,-0.1971059664191523,-0.09582822842947006,0.06722960650986469,-0.19597977640822653
2025-07-31 22:00:00,Stochastic covariance,-0.41214537507368726,-0.30452162043893977,-0.19716437946909282,-0.09566563968763842,0.06833021503986422,-0.19577785158067343
2025-07-31 23:00:00,Stochastic covariance,-0.41250273282650946,-0.30551452867066997,-0.19635131052993135,-0.09487508568692392,0.06947256379393922,-0.19551807780367353
2025-08-01 00:00:00,Stochastic covariance,-0.41246778465131817,-0.30561011432408675,-0.19629748540410447,-0.09471452208730477,0.06969489490854436,-0.19550223610493392
2025-08-01 01:00:00,Stochastic covariance,-0.4122117007967763,-0.30576052001776666,-0.19589499082629902,-0.09515523738281613,0.06982759004009279,-0.19541862804675736
2025-08-01 02:00:00,Stochastic covariance,-0.4121775094828586,-0.3061270402597163,-0.19527077525391676,-0.09560719053500197,0.06968967676170895,-0.19542102550251206
