method,side,wind_state,intensity_year_inv,ci_low,ci_high,bandwidth,local_exposure_years,local_observations,weighted_event_count_proxy,monotone_increasing_projection
corrected low-price negative spikes,negative,0.39243436111111146,2.0423921267286334,0.41061123454688864,3.674173018910378,0.25,4.146659899592933,19489,2.117276382787488,2.0423921267286334
corrected low-price negative spikes,negative,0.39693358888888924,2.1574690787862227,0.4467287196070393,3.8682094379654064,0.25,4.071293260478323,19118,2.195922330038181,2.1574690787862227
corrected low-price negative spikes,negative,0.401432816666667,2.2720389150801643,0.47585163026561306,4.068226199894715,0.25,3.9976104220807556,18747,2.2706816115743793,2.2720389150801643
corrected low-price negative spikes,negative,0.4059320444444448,2.385805848663357,0.49813261009055787,4.273479087236156,0.25,3.925808512386594,18353,2.3415542273960823,2.385805848663357
corrected low-price negative spikes,negative,0.4104312722222226,2.498442967355984,0.5136910888055546,4.4831948459064135,0.25,3.8560658921939144,17982,2.408540177503291,2.498442967355984
corrected low-price negative spikes,negative,0.41493050000000037,2.6099416431678057,0.5226821828815882,4.697201103454024,0.25,3.788037894818312,17668,2.471639461896005,2.6099416431678057
corrected low-price negative spikes,negative,0.41942972777777815,2.7202014209899996,0.5252064068936515,4.915196435086347,0.25,3.7215657061941196,17363,2.530852080574224,2.7202014209899996
corrected low-price negative spikes,negative,0.42392895555555593,2.839730611980206,0.5321272875140286,5.147333936446383,0.25,3.6566617944305246,17009,2.595983608825708,2.839730611980206
corrected low-price negative spikes,negative,0.4284281833333337,2.988870589165189,0.5651400142403742,5.412601164090004,0.25,3.5935585122769305,16684,2.6851703369471824,2.988870589165189
corrected low-price negative spikes,negative,0.4329274111111115,3.158731481578245,0.6147079865172085,5.702754976639281,0.25,3.5319899862652937,16383,2.789151990558824,3.158731481578245
corrected low-price negative spikes,negative,0.4374266388888893,3.3572682087649843,0.6880028746172742,6.026533542912695,0.25,3.4718714296171345,16096,2.9140008938932604,3.3572682087649843
corrected low-price negative spikes,negative,0.4419258666666671,3.556476417976424,0.7565767580115401,6.356376077941308,0.25,3.4129030441039263,15813,3.0344772982988912,3.556476417976424
corrected low-price negative spikes,negative,0.4464250944444449,3.7756703694201303,0.8404337990837596,6.7109069397565015,0.25,3.355187899631768,15559,3.1670208841191574,3.7756703694201303
corrected low-price negative spikes,negative,0.4509243222222227,4.009471337677832,0.9353166952513954,7.0836259801042685,0.25,3.2984745919653493,15297,3.3062848336359125,4.009471337677832
corrected low-price negative spikes,negative,0.45542355000000045,4.245132086815265,1.0290325509635871,7.4612316226669435,0.25,3.242925823794696,15039,3.441662117438173,4.245132086815265
corrected low-price negative spikes,negative,0.45992277777777824,4.482828525351139,1.121801016608476,7.843856034093802,0.25,3.1883019529470435,14810,3.5731527355259383,4.482828525351139
corrected low-price negative spikes,negative,0.464422005555556,4.722242412575315,1.2136984758836298,8.230786349267,0.25,3.134745203290799,14539,3.7007566878992098,4.722242412575315
