method,side,wind_state,intensity_year_inv,bandwidth
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.2296895833333333,0.25597859474414725,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.23422937499999996,0.25223453759790604,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.23876916666666664,0.24833700495333078,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.2433089583333333,0.24426478440514887,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.24784874999999998,0.23999550233596506,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.25238854166666663,0.2354121371531445,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.25692833333333326,0.2303616096804936,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.26146812499999994,0.22478784780924782,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.2660079166666666,0.2186556992820105,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.27054770833333325,0.21191015647469913,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.27508749999999993,0.20450236781420733,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.2796272916666666,0.19640317469927704,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.2841670833333333,0.18758025806344966,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.2887068749999999,0.178000369280989,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.2932466666666666,0.16760877215795386,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.2977864583333333,0.1563636718611965,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3023262499999999,0.1442328472299341,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3068660416666666,0.13117179624007508,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.31140583333333327,0.11713433143495164,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.31594562499999995,0.10207669709466892,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3204854166666666,0.08596686306464674,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.32502520833333326,0.06875622052428457,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.32956499999999994,0.05040538977311182,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.33410479166666657,0.03085864210954256,0.24514874999999997
