method,side,wind_state,intensity_year_inv,bandwidth,estimator_type
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.095,5.887565895294514,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.09999999999999999,5.849728147360975,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.105,5.811630624184314,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.10999999999999999,5.773260175672287,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.11499999999999999,5.734595035233528,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.12,5.695749094842984,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.12499999999999999,5.656803521155626,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.13,5.6174694604844415,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.135,5.577947230294313,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.13999999999999999,5.538147854498159,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.145,5.497901688230963,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.14999999999999997,5.457254179303669,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.15499999999999997,5.416219574680228,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.15999999999999998,5.374866489268026,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.16499999999999998,5.333069810167747,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.16999999999999998,5.290834033376328,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.175,5.248265832669743,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.18,5.205331351659793,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.185,5.162023485405326,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.19,5.118198314854941,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.195,5.073832668411552,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.19999999999999996,5.028943416487607,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.20499999999999996,4.983447438944977,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.20999999999999996,4.937327489383534,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.21499999999999997,4.890522045516439,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.21999999999999997,4.84293131320945,0.3,paper_kernel
